firstname,lastname,username,phone_number,account_number,account_type,account_balance,pin,password
Adebusola,Adeyeye,Ademin,203093,776885057133,savings,11000,12345,jndadia585
Ope,ola,Opeola,230203392,23932848484,current,361030,22323,hahh
Feranmi,Olapelu,Opeyemi,908765432,328154622477,savings,0,2345,2345igjfjf
Gerald,Nana,Gerana,4585757554,308204360278026,savings,0,23456,tytuttyt5
Solape,Aina,Sollypee,234588848484,308111107060224,fixed,0,3589,5757jjjfjf
Semiat,Adetenifayo,Semmy,494949884,308085101283143,savings,0,47899,hjsksksss
Xenon,Fradinard,Fraddy,448494,308845034307316,savings,4000,49584,DUXUEUE
Adeola,Adeyemi,Addy,684940,308320461807233,savings,90000,45678,UXYIFU
Asake,Tofunmi,Asakkymama,484848484,308,current,476612,34678,UXYEUHMIFU
Nike,Adeyeye,nikky,993948348,308663001042211,savings,0,34567,HCGY
Zennh,Ada,ada,342,308724552386537,3saving,2000,34567,6UXU
Afolabi,Adepena,adepena,3456344,308325487783367,savings,5000,45678,UZIFUVC
xada,aad,fish,3338939233,308413144261803,current,24000,154050,GYUN
Doyin,Giwa,giwa,4944,308506234862483,savings,0,34567,XISCH
ada,ada,sada,433,308066137226772,savings,0,5677,MUXU
Comfort,Cammodia,cammy,940404,308510747354272,savings,0,616166,WUGGIH
Daniel,Momodu,dmomodu007,9032115544,308617666348172,savings,0,34566,UNMXYP345
